locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHOONDMH_00832	CDS	870	rhaR_5			HTH-type transcriptional activator RhaR
BHOONDMH_00833	CDS	1254	dctA		COG1301	C4-dicarboxylate transport protein
BHOONDMH_00834	CDS	438				hypothetical protein
BHOONDMH_00835	CDS	1005				hypothetical protein
BHOONDMH_00836	CDS	849				hypothetical protein
BHOONDMH_00837	CDS	351				hypothetical protein
BHOONDMH_00838	CDS	213				hypothetical protein
BHOONDMH_00839	CDS	438				hypothetical protein
BHOONDMH_00840	CDS	609	spsB	3.4.21.89	COG0681	Signal peptidase IB
BHOONDMH_00841	CDS	702	ypdB_2		COG3279	Transcriptional regulatory protein YpdB
BHOONDMH_00842	CDS	120				hypothetical protein
BHOONDMH_00843	CDS	126				hypothetical protein
BHOONDMH_00844	CDS	105				hypothetical protein
BHOONDMH_00845	CDS	147				hypothetical protein
BHOONDMH_00846	CDS	120				hypothetical protein
BHOONDMH_00847	CDS	1353	moaA_1			GTP 3',8-cyclase
BHOONDMH_00848	CDS	591				hypothetical protein
BHOONDMH_00849	CDS	498				hypothetical protein
BHOONDMH_00850	CDS	1713	msbA_4	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
BHOONDMH_00851	CDS	750				hypothetical protein
BHOONDMH_00852	CDS	480				hypothetical protein
BHOONDMH_00853	CDS	2469				hypothetical protein
BHOONDMH_00854	CDS	681	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
BHOONDMH_00855	CDS	465				hypothetical protein
BHOONDMH_00856	CDS	594				hypothetical protein
BHOONDMH_00857	CDS	285				hypothetical protein
BHOONDMH_00858	CDS	1419	adeQ_2		COG2252	Adenine permease AdeQ
BHOONDMH_00859	CDS	264				hypothetical protein
BHOONDMH_00860	CDS	867			COG1307	DegV domain-containing protein
BHOONDMH_00861	CDS	513				hypothetical protein
BHOONDMH_00862	CDS	1911	ltaS2		COG1368	Lipoteichoic acid synthase 2
BHOONDMH_00863	CDS	1413	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
BHOONDMH_00864	CDS	1224	nupX		COG1972	Putative nucleoside permease NupX
BHOONDMH_00865	CDS	1392	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
BHOONDMH_00866	CDS	516	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
BHOONDMH_00867	CDS	780				hypothetical protein
BHOONDMH_00868	CDS	876	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
BHOONDMH_00869	CDS	1257				hypothetical protein
BHOONDMH_00870	CDS	321				hypothetical protein
BHOONDMH_00871	CDS	537				hypothetical protein
BHOONDMH_00872	CDS	1110				hypothetical protein
BHOONDMH_00873	CDS	93				hypothetical protein
BHOONDMH_00874	CDS	912				hypothetical protein
BHOONDMH_00875	CDS	393				hypothetical protein
BHOONDMH_00876	CDS	972	rhaR_6			HTH-type transcriptional activator RhaR
BHOONDMH_00877	CDS	1779			COG1132	putative ABC transporter ATP-binding protein
BHOONDMH_00878	CDS	1749		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BHOONDMH_00879	CDS	1104				hypothetical protein
BHOONDMH_00880	CDS	1080				hypothetical protein
BHOONDMH_00881	CDS	927				hypothetical protein
BHOONDMH_00882	CDS	684	walR_4		COG0745	Transcriptional regulatory protein WalR
BHOONDMH_00883	CDS	1422	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
BHOONDMH_00884	CDS	714				hypothetical protein
BHOONDMH_00885	CDS	693	srrA_1		COG0745	Transcriptional regulatory protein SrrA
BHOONDMH_00886	CDS	1107	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
BHOONDMH_00887	CDS	1668	mdtD			Putative multidrug resistance protein MdtD
BHOONDMH_00888	CDS	651				hypothetical protein
BHOONDMH_00889	CDS	1089				hypothetical protein
BHOONDMH_00890	CDS	813	cheB_2	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BHOONDMH_00891	CDS	1299	glnK	2.7.13.3	COG0642	Sensor histidine kinase GlnK
BHOONDMH_00892	CDS	1179	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
BHOONDMH_00893	CDS	1179				hypothetical protein
BHOONDMH_00894	CDS	348				hypothetical protein
BHOONDMH_00895	CDS	1032				hypothetical protein
BHOONDMH_00896	CDS	1680	msbA_5	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
BHOONDMH_00897	CDS	627	cat_1	2.3.1.28		Chloramphenicol acetyltransferase
BHOONDMH_00898	CDS	633	yfiR			putative HTH-type transcriptional regulator YfiR
BHOONDMH_00899	CDS	471				hypothetical protein
BHOONDMH_00900	CDS	330	csaA		COG0073	putative chaperone CsaA
BHOONDMH_00901	CDS	726	rhaS_1			HTH-type transcriptional activator RhaS
BHOONDMH_00902	CDS	708				hypothetical protein
BHOONDMH_00903	CDS	1224	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
BHOONDMH_00904	CDS	387	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
BHOONDMH_00905	CDS	1896	mutS2_1	3.1.-.-		Endonuclease MutS2
BHOONDMH_00906	CDS	366				hypothetical protein
BHOONDMH_00907	CDS	474				hypothetical protein
BHOONDMH_00908	CDS	414				hypothetical protein
BHOONDMH_00909	CDS	264				hypothetical protein
BHOONDMH_00910	CDS	480				hypothetical protein
BHOONDMH_00911	CDS	1410	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
BHOONDMH_00912	CDS	309				hypothetical protein
BHOONDMH_00913	CDS	1278	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
BHOONDMH_00914	CDS	489				hypothetical protein
BHOONDMH_00915	CDS	438				hypothetical protein
BHOONDMH_00916	CDS	1434	ribZ			Riboflavin transporter RibZ
BHOONDMH_00917	CDS	825				hypothetical protein
BHOONDMH_00918	CDS	1011	rhaR_7			HTH-type transcriptional activator RhaR
BHOONDMH_00919	CDS	1428	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
BHOONDMH_00920	CDS	645				hypothetical protein
BHOONDMH_00921	CDS	654	walR_5		COG0745	Transcriptional regulatory protein WalR
BHOONDMH_00922	CDS	147				hypothetical protein
BHOONDMH_00923	CDS	984				hypothetical protein
BHOONDMH_00924	CDS	1074				hypothetical protein
BHOONDMH_00925	CDS	744				hypothetical protein
BHOONDMH_00926	CDS	744				hypothetical protein
BHOONDMH_00927	CDS	252				hypothetical protein
BHOONDMH_00928	CDS	1191				hypothetical protein
BHOONDMH_00929	CDS	876	hdfR			HTH-type transcriptional regulator HdfR
BHOONDMH_00930	CDS	1059	btuF_2			Vitamin B12-binding protein
BHOONDMH_00931	CDS	1101	btuC_1			Vitamin B12 import system permease protein BtuC
BHOONDMH_00932	CDS	759	fepC_2		COG1120	Ferric enterobactin transport ATP-binding protein FepC
BHOONDMH_00933	CDS	327				hypothetical protein
BHOONDMH_00934	CDS	840	licT_2		COG3711	Transcription antiterminator LicT
BHOONDMH_00935	CDS	1842	bglF_2		COG1263	PTS system beta-glucoside-specific EIIBCA component
BHOONDMH_00936	CDS	819	phnPP	3.1.4.57	COG0613	Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase
BHOONDMH_00937	CDS	711	crp_2		COG0664	CRP-like cAMP-activated global transcriptional regulator
BHOONDMH_00938	CDS	1233	norV_1		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
BHOONDMH_00939	CDS	699	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
BHOONDMH_00940	CDS	756				hypothetical protein
BHOONDMH_00941	CDS	585	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
BHOONDMH_00942	CDS	420				hypothetical protein
BHOONDMH_00943	CDS	1185	gltS		COG0786	Sodium/glutamate symporter
BHOONDMH_00944	CDS	468				hypothetical protein
BHOONDMH_00945	CDS	1344				hypothetical protein
BHOONDMH_00946	CDS	987	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
BHOONDMH_00947	CDS	894				hypothetical protein
BHOONDMH_00948	CDS	756	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
BHOONDMH_00949	CDS	972				hypothetical protein
BHOONDMH_00950	CDS	381	blaI		COG3682	Penicillinase repressor
BHOONDMH_00951	CDS	2214				hypothetical protein
BHOONDMH_00952	CDS	666				hypothetical protein
BHOONDMH_00953	CDS	1425				hypothetical protein
BHOONDMH_00954	CDS	564				hypothetical protein
BHOONDMH_00955	CDS	960	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
BHOONDMH_00956	CDS	465	greB		COG0782	Transcription elongation factor GreB
BHOONDMH_00957	CDS	753				hypothetical protein
BHOONDMH_00958	CDS	1458				hypothetical protein
BHOONDMH_00959	CDS	1203				hypothetical protein
BHOONDMH_00960	CDS	207				hypothetical protein
BHOONDMH_00961	CDS	3348				hypothetical protein
BHOONDMH_00962	CDS	303				hypothetical protein
BHOONDMH_00963	CDS	285				hypothetical protein
BHOONDMH_00964	CDS	825	rhaS_2			HTH-type transcriptional activator RhaS
BHOONDMH_00965	CDS	990	yfmC_1		COG4594	Fe(3+)-citrate-binding protein YfmC
BHOONDMH_00966	CDS	990	yfmC_2		COG4594	Fe(3+)-citrate-binding protein YfmC
BHOONDMH_00967	CDS	1041	feuB_1		COG0609	Iron-uptake system permease protein FeuB
BHOONDMH_00968	CDS	1041	feuC_1		COG0609	Iron-uptake system permease protein FeuC
BHOONDMH_00969	CDS	786	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
BHOONDMH_00970	CDS	750	nifH1	1.18.6.1		Nitrogenase iron protein 1
BHOONDMH_00971	CDS	1269				hypothetical protein
BHOONDMH_00972	CDS	1239	bchB	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
BHOONDMH_00973	CDS	2013	mcpB_3		COG0840	Methyl-accepting chemotaxis protein McpB
BHOONDMH_00974	CDS	975	rhaR_8			HTH-type transcriptional activator RhaR
BHOONDMH_00975	CDS	1344	mepA_6			Multidrug export protein MepA
BHOONDMH_00976	CDS	816				hypothetical protein
BHOONDMH_00977	CDS	1077				hypothetical protein
BHOONDMH_00978	CDS	609				hypothetical protein
BHOONDMH_00979	CDS	1437				hypothetical protein
BHOONDMH_00980	CDS	1113	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
BHOONDMH_00981	CDS	393	gcvH			Glycine cleavage system H protein
BHOONDMH_00982	CDS	1341	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
BHOONDMH_00983	CDS	1455	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
BHOONDMH_00984	CDS	1389	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
BHOONDMH_00985	CDS	978	lplJ_3	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
BHOONDMH_00986	CDS	774				hypothetical protein
BHOONDMH_00987	CDS	741				hypothetical protein
BHOONDMH_00988	CDS	1632				hypothetical protein
BHOONDMH_00989	CDS	165				hypothetical protein
BHOONDMH_00990	CDS	567				hypothetical protein
BHOONDMH_00991	CDS	189				hypothetical protein
BHOONDMH_00992	CDS	1398	mepA_7			Multidrug export protein MepA
BHOONDMH_00993	CDS	531				hypothetical protein
BHOONDMH_00994	CDS	129				hypothetical protein
BHOONDMH_00995	CDS	882				hypothetical protein
BHOONDMH_00996	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
BHOONDMH_00997	CDS	549				hypothetical protein
BHOONDMH_00998	CDS	126				hypothetical protein
BHOONDMH_00999	CDS	966	rhaR_9			HTH-type transcriptional activator RhaR
BHOONDMH_01000	CDS	261				hypothetical protein
BHOONDMH_01001	CDS	999	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
BHOONDMH_01002	CDS	1467				hypothetical protein
BHOONDMH_01003	CDS	276				hypothetical protein
BHOONDMH_01004	CDS	1554	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
BHOONDMH_01005	CDS	627	ydeA	3.2.-.-	COG0693	putative protease YdeA
BHOONDMH_01006	CDS	492				hypothetical protein
BHOONDMH_01007	CDS	3687				hypothetical protein
BHOONDMH_01008	CDS	996				hypothetical protein
BHOONDMH_01009	CDS	264				hypothetical protein
BHOONDMH_01010	CDS	909	mccA	2.5.1.134	COG0031	O-acetylserine dependent cystathionine beta-synthase
BHOONDMH_01011	CDS	453	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
BHOONDMH_01012	CDS	1143	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
BHOONDMH_01013	CDS	627	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BHOONDMH_01014	CDS	1854	endo I	3.2.1.14		Chitodextrinase
BHOONDMH_01015	CDS	264				hypothetical protein
BHOONDMH_01016	CDS	774	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BHOONDMH_01017	CDS	240	merP			Mercuric transport protein periplasmic component
BHOONDMH_01018	CDS	333				hypothetical protein
BHOONDMH_01019	CDS	501				hypothetical protein
BHOONDMH_01020	CDS	1911				hypothetical protein
BHOONDMH_01021	CDS	1152				hypothetical protein
BHOONDMH_01022	CDS	609				hypothetical protein
BHOONDMH_01023	CDS	423				hypothetical protein
BHOONDMH_01024	CDS	201				hypothetical protein
BHOONDMH_01025	CDS	1260				hypothetical protein
BHOONDMH_01026	CDS	540				hypothetical protein
BHOONDMH_01027	CDS	180				hypothetical protein
BHOONDMH_01028	CDS	222				hypothetical protein
BHOONDMH_01029	CDS	228				hypothetical protein
BHOONDMH_01030	CDS	477				hypothetical protein
BHOONDMH_01031	CDS	417	arsC	1.20.4.4		Arsenate reductase
BHOONDMH_01032	CDS	324				hypothetical protein
BHOONDMH_01033	CDS	372	arsD			Arsenical resistance operon trans-acting repressor ArsD
BHOONDMH_01034	CDS	1746	arsA	7.3.2.7		Arsenical pump-driving ATPase
BHOONDMH_01035	CDS	1071	acr3		COG0798	Arsenical-resistance protein Acr3
BHOONDMH_01036	CDS	201				hypothetical protein
BHOONDMH_01037	CDS	441				hypothetical protein
BHOONDMH_01038	CDS	318	sdpR		COG0640	Transcriptional repressor SdpR
BHOONDMH_01039	CDS	654	arsM	2.1.1.137		Arsenite methyltransferase
BHOONDMH_01040	CDS	549				hypothetical protein
BHOONDMH_01041	CDS	936	bcrA_2			Bacitracin transport ATP-binding protein BcrA
BHOONDMH_01042	CDS	1137				hypothetical protein
BHOONDMH_01043	CDS	1137				hypothetical protein
BHOONDMH_01044	CDS	603				hypothetical protein
BHOONDMH_01045	CDS	1785	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
BHOONDMH_01046	CDS	462				hypothetical protein
BHOONDMH_01047	CDS	987	thyA	2.1.1.45		Thymidylate synthase
BHOONDMH_01048	CDS	759	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BHOONDMH_01049	CDS	1215		2.5.1.2		Thiaminase-1
BHOONDMH_01050	CDS	834	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
BHOONDMH_01051	CDS	231				hypothetical protein
BHOONDMH_01052	CDS	465				hypothetical protein
BHOONDMH_01053	CDS	789	lnrL_3	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
BHOONDMH_01054	CDS	1683				hypothetical protein
BHOONDMH_01055	CDS	693	srrA_2		COG0745	Transcriptional regulatory protein SrrA
BHOONDMH_01056	CDS	921	bcrA_3			Bacitracin transport ATP-binding protein BcrA
BHOONDMH_01057	CDS	792				hypothetical protein
BHOONDMH_01058	CDS	858	rhaR_10			HTH-type transcriptional activator RhaR
BHOONDMH_01059	CDS	906	sasA_7	2.7.-.-		Adaptive-response sensory-kinase SasA
BHOONDMH_01060	CDS	294				hypothetical protein
BHOONDMH_01061	CDS	996				hypothetical protein
BHOONDMH_01062	CDS	1035				hypothetical protein
BHOONDMH_01063	CDS	693	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
BHOONDMH_01064	CDS	2697				hypothetical protein
BHOONDMH_01065	CDS	120				hypothetical protein
BHOONDMH_01066	CDS	714	walR_6		COG0745	Transcriptional regulatory protein WalR
BHOONDMH_01067	CDS	1263	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
BHOONDMH_01068	CDS	642				hypothetical protein
BHOONDMH_01069	CDS	189	sspH_1			Small, acid-soluble spore protein H
BHOONDMH_01070	CDS	783				hypothetical protein
BHOONDMH_01071	CDS	981				hypothetical protein
BHOONDMH_01072	CDS	669	hypB_1			Hydrogenase maturation factor HypB
BHOONDMH_01073	CDS	2697		1.18.1.2		Ferredoxin--NADP reductase
BHOONDMH_01074	CDS	342	hypA			Hydrogenase maturation factor HypA
BHOONDMH_01075	CDS	456	sbmC			DNA gyrase inhibitor
BHOONDMH_01076	CDS	798	dapB_1	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
BHOONDMH_01077	CDS	840	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
BHOONDMH_01078	CDS	495				hypothetical protein
BHOONDMH_01079	CDS	1449	flp_2			Protein flp
BHOONDMH_01080	CDS	606				hypothetical protein
BHOONDMH_01081	CDS	1398				hypothetical protein
BHOONDMH_01082	CDS	1173	hutI	3.5.2.7		Imidazolonepropionase
BHOONDMH_01083	CDS	1302	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
BHOONDMH_01084	CDS	1314	brnQ_2		COG1114	Branched-chain amino acid transport system 2 carrier protein
BHOONDMH_01085	CDS	2478	sgrR			HTH-type transcriptional regulator SgrR
BHOONDMH_01086	CDS	237				hypothetical protein
BHOONDMH_01087	CDS	777	feoB_1		COG0370	Fe(2+) transporter FeoB
BHOONDMH_01088	CDS	1524	feoB_2		COG0370	Fe(2+) transporter FeoB
BHOONDMH_01089	CDS	615	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
BHOONDMH_01090	CDS	1557				hypothetical protein
BHOONDMH_01091	CDS	747	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
BHOONDMH_01092	CDS	786				hypothetical protein
BHOONDMH_01093	CDS	279				hypothetical protein
BHOONDMH_01094	CDS	183				hypothetical protein
BHOONDMH_01095	CDS	249				hypothetical protein
BHOONDMH_01096	CDS	1353				hypothetical protein
BHOONDMH_01097	CDS	354	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
BHOONDMH_01098	CDS	1188				hypothetical protein
BHOONDMH_01099	CDS	252				hypothetical protein
BHOONDMH_01100	CDS	456	sulD		COG0801	Bifunctional folate synthesis protein
BHOONDMH_01101	CDS	441			COG0071	18 kDa heat shock protein
BHOONDMH_01102	CDS	1290	COQ5_4	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BHOONDMH_01103	CDS	1176	arnB_2	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
BHOONDMH_01104	CDS	1122	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
BHOONDMH_01105	CDS	201				hypothetical protein
BHOONDMH_01106	CDS	492				hypothetical protein
BHOONDMH_01107	CDS	555	flr			Flavoredoxin
BHOONDMH_01108	CDS	336				hypothetical protein
BHOONDMH_01109	CDS	531				hypothetical protein
BHOONDMH_01110	CDS	795				hypothetical protein
BHOONDMH_01111	CDS	918	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BHOONDMH_01112	CDS	1158				hypothetical protein
BHOONDMH_01113	CDS	366				hypothetical protein
BHOONDMH_01114	CDS	339				hypothetical protein
BHOONDMH_01115	CDS	408				hypothetical protein
BHOONDMH_01116	CDS	609				hypothetical protein
BHOONDMH_01117	CDS	1083	yndE_1			Spore germination protein YndE
BHOONDMH_01118	CDS	576				hypothetical protein
BHOONDMH_01119	CDS	654				hypothetical protein
BHOONDMH_01120	CDS	828				hypothetical protein
BHOONDMH_01121	CDS	618				hypothetical protein
BHOONDMH_01122	CDS	516				hypothetical protein
BHOONDMH_01123	CDS	528				hypothetical protein
BHOONDMH_01124	CDS	702	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
BHOONDMH_01125	CDS	309	yodB		COG1733	HTH-type transcriptional regulator YodB
BHOONDMH_01126	CDS	630	mhqN	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase MhqN
BHOONDMH_01127	CDS	1443				hypothetical protein
BHOONDMH_01128	CDS	579	yvdD		COG1611	LOG family protein YvdD
BHOONDMH_01129	CDS	456				hypothetical protein
BHOONDMH_01130	CDS	888	cynR			HTH-type transcriptional regulator CynR
BHOONDMH_01131	CDS	447	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
BHOONDMH_01132	CDS	423				hypothetical protein
BHOONDMH_01133	CDS	933				hypothetical protein
BHOONDMH_01134	CDS	471				hypothetical protein
BHOONDMH_01135	CDS	762				hypothetical protein
BHOONDMH_01136	CDS	1164				hypothetical protein
BHOONDMH_01137	CDS	198				hypothetical protein
BHOONDMH_01138	CDS	501	def_2	3.5.1.88	COG0242	Peptide deformylase
BHOONDMH_01139	CDS	1437	gabR_2		COG1167	HTH-type transcriptional regulatory protein GabR
BHOONDMH_01140	CDS	519	rutE	1.1.1.298		malonic semialdehyde reductase RutE
BHOONDMH_01141	CDS	171				hypothetical protein
BHOONDMH_01142	CDS	384				hypothetical protein
BHOONDMH_01143	CDS	207				hypothetical protein
BHOONDMH_01144	CDS	186				hypothetical protein
BHOONDMH_01145	CDS	186				hypothetical protein
BHOONDMH_01146	CDS	339				hypothetical protein
BHOONDMH_01147	CDS	207				hypothetical protein
BHOONDMH_01148	CDS	954	mraY_2	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BHOONDMH_01149	CDS	861				hypothetical protein
BHOONDMH_01150	CDS	564				hypothetical protein
BHOONDMH_01151	CDS	1092	moaA_2			GTP 3',8-cyclase
BHOONDMH_01152	CDS	1173				hypothetical protein
BHOONDMH_01153	CDS	180				hypothetical protein
BHOONDMH_01154	CDS	699	pduB		COG4816	Propanediol utilization protein PduB
BHOONDMH_01155	CDS	1113				hypothetical protein
BHOONDMH_01156	CDS	870	rhaS_3			HTH-type transcriptional activator RhaS
BHOONDMH_01157	CDS	1233	aguA	3.5.3.12	COG2957	Agmatine deiminase
BHOONDMH_01158	CDS	612				hypothetical protein
BHOONDMH_01159	CDS	387				hypothetical protein
BHOONDMH_01160	CDS	588				hypothetical protein
BHOONDMH_01161	CDS	378	ykuD	2.-.-.-	COG1376	Putative L,D-transpeptidase YkuD
BHOONDMH_01162	CDS	345				hypothetical protein
BHOONDMH_01163	CDS	339				hypothetical protein
BHOONDMH_01164	CDS	405				hypothetical protein
BHOONDMH_01165	CDS	180				hypothetical protein
BHOONDMH_01166	CDS	858				hypothetical protein
BHOONDMH_01167	CDS	771				hypothetical protein
BHOONDMH_01168	CDS	771				hypothetical protein
BHOONDMH_01169	CDS	1026	ocd	4.3.1.12	COG2423	Ornithine cyclodeaminase
BHOONDMH_01170	CDS	1608				hypothetical protein
BHOONDMH_01171	CDS	2361	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BHOONDMH_01172	CDS	672	hssR			Heme response regulator HssR
BHOONDMH_01173	CDS	1029	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
BHOONDMH_01174	CDS	1026	ilvE_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BHOONDMH_01175	CDS	198				hypothetical protein
BHOONDMH_01176	CDS	426				hypothetical protein
BHOONDMH_01177	CDS	549	bioY_1		COG1268	Biotin transporter BioY
BHOONDMH_01178	CDS	1752				hypothetical protein
BHOONDMH_01179	CDS	546	aaaT_1	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
BHOONDMH_01180	CDS	657				hypothetical protein
BHOONDMH_01181	CDS	648	kynB	3.5.1.9	COG1878	Kynurenine formamidase
BHOONDMH_01182	CDS	1728				hypothetical protein
BHOONDMH_01183	CDS	1584	lexA_1	3.4.21.88		LexA repressor
BHOONDMH_01184	CDS	558	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
BHOONDMH_01185	CDS	927				hypothetical protein
BHOONDMH_01186	CDS	501				hypothetical protein
BHOONDMH_01187	CDS	768	mta		COG0789	HTH-type transcriptional activator mta
BHOONDMH_01188	CDS	1482	cobQ			Cobyric acid synthase
BHOONDMH_01189	CDS	963	cobD_1		COG1270	Cobalamin biosynthesis protein CobD
BHOONDMH_01190	CDS	1089	cobD_2	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
BHOONDMH_01191	CDS	720	cbiM		COG0310	Cobalt transport protein CbiM
BHOONDMH_01192	CDS	300	cbiN		COG1930	Cobalt transport protein CbiN
BHOONDMH_01193	CDS	702				hypothetical protein
BHOONDMH_01194	CDS	648	cysG_1	4.99.1.4		Siroheme synthase
BHOONDMH_01195	CDS	873	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
BHOONDMH_01196	CDS	1461	cysG_2	4.99.1.4		Siroheme synthase
BHOONDMH_01197	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
BHOONDMH_01198	CDS	855	uppP_1	3.6.1.27		Undecaprenyl-diphosphatase
BHOONDMH_01199	CDS	1116				hypothetical protein
BHOONDMH_01200	CDS	981	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
BHOONDMH_01201	CDS	1326	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
BHOONDMH_01202	CDS	729	gatD_1	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
BHOONDMH_01203	CDS	2601	clpB		COG0542	Chaperone protein ClpB
BHOONDMH_01204	CDS	927				hypothetical protein
BHOONDMH_01205	CDS	168				hypothetical protein
BHOONDMH_01206	CDS	1254				hypothetical protein
BHOONDMH_01207	CDS	1305				hypothetical protein
BHOONDMH_01208	CDS	177				hypothetical protein
BHOONDMH_01209	CDS	450	rnhA_1	3.1.26.4	COG0328	Ribonuclease HI
BHOONDMH_01210	CDS	1059				hypothetical protein
BHOONDMH_01211	CDS	1731	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
BHOONDMH_01212	CDS	2055	mcpB_4		COG0840	Methyl-accepting chemotaxis protein McpB
BHOONDMH_01213	CDS	1035	glpG	3.4.21.105		Rhomboid protease GlpG
BHOONDMH_01214	CDS	1059				hypothetical protein
BHOONDMH_01215	CDS	348				hypothetical protein
BHOONDMH_01216	CDS	435	perR_1		COG0735	Peroxide operon regulator
BHOONDMH_01217	CDS	552	mntP_1		COG1971	putative manganese efflux pump MntP
BHOONDMH_01218	CDS	339	ssbA_1		COG0629	Single-stranded DNA-binding protein A
BHOONDMH_01219	CDS	696				hypothetical protein
BHOONDMH_01220	CDS	825				hypothetical protein
BHOONDMH_01221	CDS	528				hypothetical protein
BHOONDMH_01222	CDS	1476	yhdG_1		COG0531	putative amino acid permease YhdG
BHOONDMH_01223	CDS	105				hypothetical protein
BHOONDMH_01224	CDS	1452	yhdG_2		COG0531	putative amino acid permease YhdG
BHOONDMH_01225	CDS	471				hypothetical protein
